id_registro,codigo_producto,categoria,laboratorio,ciudad,temporada,metodo_reabastecimiento,precio_unitario,costo_unitario,margen_unitario,stock_actual,stock_minimo,stock_maximo,demanda_promedio_diaria,desviacion_demanda,ventas_ultimos_30_dias,quiebres_stock_ultimos_6m,lead_time_dias,dias_para_vencer,descuento_activo,es_esencial,requiere_formula,categoria_consenso_cluster,confianza_consenso,categoria_reevaluada
12,MED-1011,Vitaminas,Tecnoquímicas,Medellín,Alta (Invierno),Proveedor Programado,30434.93,25160.77,5274.16,384,36,206,32.9,8.68,959,1,7,739,1,1,1,Pediatría,0.5,Vitaminas
13,MED-1012,Gastrointestinales,Genfar,Medellín,Promoción,Manual,20102.3,12663.77,7438.53,171,33,397,13.6,5.43,413,2,9,721,0,0,0,Pediatría,1.0,Pediatría
14,MED-1013,Vitaminas,Sanofi,Cartagena,Normal,Automático (ML),26167.63,17563.98,8603.65,80,68,230,39.09,4.4,1171,1,7,765,1,1,1,Dermatológicos,0.5,Vitaminas
15,MED-1014,Higiene Personal,Bayer,Bogotá,Alta (Epidemia),Proveedor Programado,14156.91,10226.43,3930.48,159,79,375,27.21,7.74,800,2,11,430,1,0,1,Dermatológicos,0.25,Higiene Personal
16,MED-1015,Cardiovasculares,MK,Barranquilla,Normal,Proveedor Programado,9952.31,8049.68,1902.63,123,68,443,28.14,8.65,871,2,12,432,1,0,0,Dermatológicos,0.25,Cardiovasculares
17,MED-1016,Dermatológicos,Novartis,Cartagena,Alta (Invierno),Manual,10405.59,8690.03,1715.56,423,48,435,33.67,6.92,1014,1,9,502,1,0,0,Dermatológicos,0.25,Dermatológicos
18,MED-1017,Pediatría,La Santé,Barranquilla,Normal,Manual,16471.53,13927.37,2544.16,499,69,120,39.85,9.67,1166,1,5,66,1,1,0,Dermatológicos,0.5,Pediatría
19,MED-1018,Analgésicos,Genfar,Cartagena,Normal,Manual,24473.09,18968.83,5504.26,207,12,213,16.78,8.93,520,3,4,616,1,0,0,Pediatría,0.75,Pediatría
20,MED-1019,Vitaminas,Abbott,Cartagena,Alta (Invierno),Automático (ML),26513.02,19126.58,7386.44,162,70,288,7.86,0.67,271,0,14,306,1,0,0,Pediatría,0.5,Vitaminas
21,MED-1020,Dermatológicos,Sanofi,Cali,Promoción,Proveedor Programado,31218.1,24538.76,6679.34,194,26,203,23.16,1.39,677,3,3,499,1,0,0,Pediatría,0.5,Dermatológicos
22,MED-1021,Antigripales,Pfizer,Cali,Normal,Proveedor Programado,64200.47,46587.67,17612.8,283,73,439,20.47,5.93,597,0,1,541,0,0,0,Pediatría,0.5,Antigripales
23,MED-1022,Antibióticos,Bayer,Medellín,Normal,Manual,75415.31,63234.39,12180.92,372,15,163,30.16,9.55,947,1,13,526,1,0,0,Gastrointestinales,0.5,Antibióticos
24,MED-1023,Dermatológicos,Abbott,Medellín,Alta (Invierno),Proveedor Programado,26538.67,17189.83,9348.84,160,76,253,15.53,4.25,496,1,6,599,1,0,1,Pediatría,0.5,Dermatológicos
25,MED-1024,Cardiovasculares,Genfar,Bogotá,Normal,Proveedor Programado,19086.74,14654.53,4432.21,150,75,251,21.21,8.84,657,1,1,133,1,1,1,Dermatológicos,0.25,Cardiovasculares
26,MED-1025,Cardiovasculares,Abbott,Bogotá,Normal,Manual,65320.81,52421.8,12899.01,408,33,95,4.18,0.55,146,0,4,714,1,1,0,Cardiovasculares,0.5,Cardiovasculares
27,MED-1026,Antigripales,Genfar,Medellín,Promoción,Manual,8462.45,5916.91,2545.54,141,24,165,23.58,4.67,753,1,6,80,1,0,1,Pediatría,1.0,Pediatría
28,MED-1027,Diabetes,Genfar,Bogotá,Promoción,Proveedor Programado,5348.52,3259.05,2089.47,325,24,127,21.95,3.6,621,2,8,82,0,0,0,Pediatría,0.75,Pediatría
29,MED-1028,Antibióticos,Genfar,Medellín,Promoción,Automático (ML),67835.78,43997.95,23837.83,349,56,416,6.4,1.76,165,1,2,665,1,0,1,Pediatría,0.75,Pediatría
30,MED-1029,Analgésicos,MK,Barranquilla,Normal,Automático (ML),17193.69,10663.84,6529.85,126,18,196,7.76,1.99,192,3,2,125,1,1,1,Cardiovasculares,0.25,Analgésicos
31,MED-1030,Cardiovasculares,Novartis,Barranquilla,Alta (Invierno),Manual,76524.63,60031.6,16493.03,446,78,405,29.47,0.95,870,0,10,685,1,0,0,Gastrointestinales,0.5,Cardiovasculares
32,MED-1031,Pediatría,Novartis,Bogotá,Alta (Epidemia),Manual,26978.82,22793.8,4185.02,452,25,292,30.77,8.17,917,2,4,318,0,1,0,Pediatría,0.5,Pediatría
33,MED-1032,Analgésicos,Novartis,Bogotá,Alta (Invierno),Manual,76084.22,62516.13,13568.09,179,19,318,37.4,5.26,1141,6,8,354,0,0,1,Pediatría,0.75,Pediatría
34,MED-1033,Antibióticos,Roche,Medellín,Normal,Proveedor Programado,12894.53,10351.74,2542.79,426,21,393,33.0,6.69,1020,1,11,585,0,1,1,Pediatría,0.5,Antibióticos
35,MED-1034,Dermatológicos,Genfar,Cali,Alta (Invierno),Automático (ML),32048.95,19541.55,12507.4,241,44,308,3.78,3.53,88,2,10,631,1,0,1,Pediatría,0.75,Pediatría
36,MED-1035,Diabetes,La Santé,Bogotá,Normal,Automático (ML),75121.91,45809.08,29312.83,216,30,328,22.37,4.52,654,2,8,221,0,0,0,Pediatría,0.5,Diabetes
37,MED-1036,Higiene Personal,Tecnoquímicas,Medellín,Alta (Epidemia),Manual,22251.27,16580.22,5671.05,150,71,344,34.48,4.58,1026,3,13,308,0,1,1,Pediatría,0.5,Higiene Personal
38,MED-1037,Vitaminas,Abbott,Cartagena,Alta (Epidemia),Proveedor Programado,71955.29,50174.45,21780.84,395,70,352,34.04,3.87,1026,2,12,747,0,1,0,Gastrointestinales,0.5,Vitaminas
39,MED-1038,Vitaminas,Tecnoquímicas,Bogotá,Normal,Proveedor Programado,9412.9,5863.54,3549.36,395,34,136,31.87,8.0,942,2,13,722,0,1,1,Pediatría,0.5,Vitaminas
40,MED-1039,Pediatría,Genfar,Cali,Alta (Invierno),Proveedor Programado,30020.46,18890.88,11129.58,75,18,141,33.64,8.74,1009,1,6,548,1,1,1,Pediatría,0.75,Pediatría
41,MED-1040,Analgésicos,Pfizer,Barranquilla,Alta (Epidemia),Manual,33542.17,27604.34,5937.83,193,14,92,4.31,9.87,122,2,13,862,0,1,0,Pediatría,0.75,Pediatría
42,MED-1041,Dermatológicos,MK,Barranquilla,Promoción,Proveedor Programado,57529.95,41445.54,16084.41,363,63,279,17.54,9.11,535,1,7,155,0,0,0,Pediatría,0.5,Dermatológicos
43,MED-1042,Vitaminas,Novartis,Bogotá,Alta (Epidemia),Proveedor Programado,39086.87,24002.3,15084.57,475,70,120,27.56,2.76,809,2,9,220,0,1,0,Gastrointestinales,0.25,Vitaminas
44,MED-1043,Analgésicos,Tecnoquímicas,Cali,Normal,Automático (ML),78298.35,57862.58,20435.77,302,30,159,21.58,9.93,646,3,5,705,0,0,0,Pediatría,0.5,Analgésicos
45,MED-1044,Gastrointestinales,Novartis,Barranquilla,Alta (Invierno),Manual,56572.65,40372.24,16200.41,372,63,371,36.15,0.93,1128,1,12,359,0,0,1,Gastrointestinales,0.25,Gastrointestinales
46,MED-1045,Analgésicos,MK,Cali,Promoción,Proveedor Programado,38704.78,26641.97,12062.81,177,37,306,15.05,2.97,435,0,11,531,0,1,0,Pediatría,0.5,Analgésicos
47,MED-1046,Antibióticos,Sanofi,Bogotá,Promoción,Manual,24541.79,17248.01,7293.78,460,38,133,3.97,9.44,134,0,3,285,0,1,1,Pediatría,0.5,Antibióticos
48,MED-1047,Dermatológicos,Genfar,Medellín,Normal,Proveedor Programado,70502.93,52023.9,18479.03,4,42,156,19.73,9.86,594,3,11,882,0,1,1,Pediatría,0.5,Dermatológicos
49,MED-1048,Dermatológicos,Pfizer,Cali,Alta (Epidemia),Proveedor Programado,7890.41,4806.88,3083.53,384,30,390,34.72,8.22,1044,2,5,899,1,1,0,Dermatológicos,0.5,Dermatológicos
50,MED-1049,Antibióticos,Tecnoquímicas,Medellín,Alta (Epidemia),Manual,21563.53,14043.49,7520.04,0,60,282,24.64,2.67,755,1,1,517,0,1,1,Cardiovasculares,0.5,Antibióticos
51,MED-1050,Gastrointestinales,Sanofi,Cartagena,Normal,Automático (ML),11743.93,9018.09,2725.84,161,63,230,33.42,3.42,1010,1,1,83,0,1,0,Pediatría,1.0,Pediatría
52,MED-1051,Cardiovasculares,Bayer,Cartagena,Alta (Invierno),Automático (ML),63419.46,48188.66,15230.8,74,60,212,6.32,0.64,216,2,6,335,1,0,1,Pediatría,0.5,Cardiovasculares
53,MED-1052,Pediatría,La Santé,Bogotá,Alta (Epidemia),Proveedor Programado,72620.22,49894.73,22725.49,165,39,335,21.42,7.13,642,1,13,167,1,1,1,Gastrointestinales,0.5,Pediatría
54,MED-1053,Cardiovasculares,Tecnoquímicas,Cartagena,Alta (Invierno),Manual,78462.51,56740.52,21721.99,204,52,341,14.32,5.6,445,2,7,212,1,1,0,Pediatría,0.5,Cardiovasculares
55,MED-1054,Pediatría,Roche,Cali,Promoción,Proveedor Programado,16865.18,13055.76,3809.42,280,76,320,21.09,9.74,645,1,13,663,0,1,1,Dermatológicos,0.25,Pediatría
56,MED-1055,Antigripales,Sanofi,Cartagena,Alta (Epidemia),Automático (ML),5448.96,4016.86,1432.1,132,21,416,35.87,1.72,1065,1,10,842,1,1,0,Pediatría,0.75,Pediatría
57,MED-1056,Higiene Personal,Abbott,Medellín,Normal,Automático (ML),40048.2,30915.05,9133.15,55,72,169,3.38,3.13,86,0,1,37,1,0,0,Pediatría,0.5,Higiene Personal
58,MED-1057,Dermatológicos,Genfar,Medellín,Alta (Invierno),Manual,31526.35,22734.62,8791.73,473,37,164,19.04,7.6,582,1,14,728,0,0,1,Pediatría,0.5,Dermatológicos
59,MED-1058,Pediatría,Pfizer,Barranquilla,Promoción,Proveedor Programado,71930.93,52359.92,19571.01,238,27,370,21.77,2.8,649,1,9,660,0,1,1,Gastrointestinales,0.5,Pediatría
60,MED-1059,Cardiovasculares,Genfar,Medellín,Normal,Manual,28217.3,17775.22,10442.08,144,22,283,19.48,3.87,583,2,9,138,1,0,0,Pediatría,0.75,Pediatría
61,MED-1060,Higiene Personal,Abbott,Bogotá,Alta (Invierno),Manual,45946.15,34304.95,11641.2,235,51,201,15.16,6.64,426,0,2,472,1,0,1,Cardiovasculares,0.5,Higiene Personal
62,MED-1061,Higiene Personal,Novartis,Cartagena,Alta (Epidemia),Automático (ML),14770.15,9770.3,4999.85,3,71,438,32.43,1.03,984,0,9,788,1,1,0,Dermatológicos,0.25,Higiene Personal
63,MED-1062,Diabetes,Abbott,Cali,Alta (Invierno),Proveedor Programado,4404.67,3410.27,994.4,407,15,386,23.46,9.22,689,3,6,147,1,1,0,Pediatría,0.5,Diabetes
64,MED-1063,Dermatológicos,Abbott,Bogotá,Alta (Epidemia),Manual,24558.39,19459.41,5098.98,325,35,202,28.73,2.4,851,3,4,142,1,1,1,Pediatría,0.75,Pediatría
65,MED-1064,Higiene Personal,Pfizer,Medellín,Alta (Invierno),Manual,41970.0,34961.16,7008.84,332,12,222,15.4,4.82,449,3,5,679,1,0,0,Pediatría,1.0,Pediatría
66,MED-1065,Antibióticos,Sanofi,Barranquilla,Alta (Epidemia),Proveedor Programado,34711.75,23854.51,10857.24,304,78,445,30.09,4.38,917,1,5,405,1,1,0,Dermatológicos,0.5,Antibióticos
67,MED-1066,Antigripales,Sanofi,Barranquilla,Normal,Proveedor Programado,32200.6,26778.42,5422.18,319,31,140,33.83,1.83,1005,0,9,258,1,1,0,Pediatría,0.5,Antigripales
68,MED-1067,Gastrointestinales,Tecnoquímicas,Barranquilla,Promoción,Proveedor Programado,65722.25,50362.91,15359.34,409,71,252,13.33,6.09,391,3,2,325,0,1,0,Pediatría,0.5,Gastrointestinales
69,MED-1068,Dermatológicos,Sanofi,Barranquilla,Normal,Automático (ML),44563.14,31625.84,12937.3,480,34,228,36.08,4.15,1087,0,14,850,1,1,0,Gastrointestinales,0.25,Dermatológicos
70,MED-1069,Diabetes,MK,Cartagena,Normal,Automático (ML),75367.07,57047.37,18319.7,455,51,115,35.27,5.21,1073,5,14,260,0,0,1,Pediatría,0.5,Diabetes
71,MED-1070,Vitaminas,Abbott,Medellín,Normal,Automático (ML),18749.93,14597.12,4152.81,4,47,255,15.77,4.84,536,1,4,725,1,1,0,Pediatría,0.75,Pediatría
72,MED-1071,Diabetes,La Santé,Cali,Promoción,Automático (ML),62434.91,37651.42,24783.49,114,45,386,28.93,6.19,871,2,4,40,1,1,0,Dermatológicos,0.5,Diabetes
73,MED-1072,Diabetes,Bayer,Cartagena,Normal,Automático (ML),35616.96,23933.97,11682.99,362,21,288,23.86,5.31,728,0,9,652,0,0,0,Pediatría,0.5,Diabetes
74,MED-1073,Analgésicos,Genfar,Medellín,Normal,Proveedor Programado,73743.79,58812.23,14931.56,292,40,140,29.72,9.38,922,1,6,808,0,0,0,Antigripales,0.25,Analgésicos
75,MED-1074,Diabetes,Pfizer,Cartagena,Alta (Invierno),Automático (ML),78832.77,63832.83,14999.94,181,66,116,34.93,5.43,1075,0,8,690,1,1,0,Gastrointestinales,0.25,Diabetes
76,MED-1075,Pediatría,Roche,Bogotá,Alta (Invierno),Automático (ML),63659.82,47804.09,15855.73,290,72,365,21.96,9.24,644,3,2,239,0,0,1,Antigripales,0.25,Pediatría
77,MED-1076,Pediatría,Sanofi,Barranquilla,Alta (Invierno),Manual,73281.71,48516.64,24765.07,24,61,308,2.32,3.46,51,0,13,92,0,0,1,Pediatría,0.5,Pediatría
78,MED-1077,Pediatría,Pfizer,Cartagena,Normal,Automático (ML),42668.37,36007.21,6661.16,360,58,255,17.17,1.31,500,2,13,389,1,1,0,Pediatría,0.75,Pediatría
79,MED-1078,Higiene Personal,La Santé,Bogotá,Promoción,Automático (ML),60746.96,39635.96,21111.0,210,71,152,19.26,6.44,583,1,13,315,0,1,1,Gastrointestinales,0.5,Higiene Personal
80,MED-1079,Diabetes,MK,Barranquilla,Alta (Invierno),Proveedor Programado,43628.88,32006.76,11622.12,112,47,415,5.02,3.68,173,1,7,672,1,1,1,Pediatría,0.75,Pediatría
81,MED-1080,Cardiovasculares,Roche,Cali,Alta (Epidemia),Manual,52587.96,36926.4,15661.56,86,64,401,28.92,6.76,853,1,1,342,0,1,1,Dermatológicos,0.5,Cardiovasculares
82,MED-1081,Antigripales,Abbott,Cartagena,Promoción,Automático (ML),11016.36,8812.86,2203.5,66,60,206,22.71,7.35,666,5,3,125,0,1,1,Cardiovasculares,0.5,Antigripales
83,MED-1082,Vitaminas,Abbott,Medellín,Alta (Epidemia),Automático (ML),34292.21,23352.91,10939.3,465,16,395,4.33,2.47,136,3,3,653,1,1,1,Pediatría,0.75,Pediatría
84,MED-1083,Higiene Personal,Bayer,Cartagena,Alta (Invierno),Manual,22975.6,15966.28,7009.32,470,21,90,25.34,4.39,735,1,14,255,0,1,1,Pediatría,0.5,Higiene Personal
85,MED-1084,Higiene Personal,Genfar,Barranquilla,Promoción,Automático (ML),78040.14,62037.2,16002.94,80,39,208,39.43,4.98,1216,2,1,144,0,0,1,Antigripales,0.25,Higiene Personal
86,MED-1085,Antigripales,Sanofi,Medellín,Alta (Epidemia),Proveedor Programado,52669.17,37154.2,15514.97,153,67,145,7.7,3.09,232,1,11,867,1,1,1,Pediatría,0.5,Antigripales
87,MED-1086,Cardiovasculares,Novartis,Cali,Alta (Epidemia),Proveedor Programado,47391.77,31682.05,15709.72,16,46,248,20.4,7.34,617,2,5,371,1,1,1,Pediatría,0.5,Cardiovasculares
88,MED-1087,Dermatológicos,Genfar,Bogotá,Alta (Invierno),Automático (ML),73409.72,51731.29,21678.43,475,71,242,17.46,3.86,543,0,6,392,0,0,0,Pediatría,0.5,Dermatológicos
89,MED-1088,Antigripales,Abbott,Cali,Alta (Epidemia),Manual,9955.95,7892.54,2063.41,28,30,346,12.26,3.88,379,3,1,216,0,1,0,Cardiovasculares,0.5,Antigripales
90,MED-1089,Gastrointestinales,MK,Cali,Normal,Proveedor Programado,19550.41,11882.66,7667.75,147,71,321,31.07,1.51,897,3,9,325,0,1,0,Pediatría,0.5,Gastrointestinales
91,MED-1090,Analgésicos,Novartis,Cali,Alta (Invierno),Proveedor Programado,21972.96,17683.3,4289.66,228,53,204,24.02,3.93,694,4,12,846,1,0,0,Cardiovasculares,0.5,Analgésicos
92,MED-1091,Pediatría,Tecnoquímicas,Barranquilla,Promoción,Automático (ML),56305.3,45736.73,10568.57,24,21,213,28.03,0.99,836,0,10,76,1,0,0,Pediatría,0.5,Pediatría
93,MED-1092,Dermatológicos,Abbott,Bogotá,Normal,Automático (ML),48296.31,41044.06,7252.25,281,16,335,5.7,7.44,167,2,3,717,1,0,0,Pediatría,0.5,Dermatológicos
94,MED-1093,Vitaminas,MK,Cartagena,Alta (Epidemia),Manual,38046.06,27796.78,10249.28,102,26,89,24.25,2.69,708,0,12,842,0,0,1,Pediatría,0.5,Vitaminas
95,MED-1094,Pediatría,Roche,Cartagena,Alta (Invierno),Proveedor Programado,56614.24,38778.98,17835.26,182,48,112,32.36,5.61,988,1,6,426,1,1,1,Antigripales,0.25,Pediatría
96,MED-1095,Dermatológicos,Roche,Barranquilla,Alta (Epidemia),Proveedor Programado,4878.86,3988.59,890.27,413,22,212,15.97,9.36,484,0,11,68,0,0,0,Pediatría,0.75,Pediatría
97,MED-1096,Antigripales,Tecnoquímicas,Bogotá,Alta (Invierno),Manual,7056.66,4390.2,2666.46,317,66,387,35.07,9.85,1086,0,10,388,0,0,0,Dermatológicos,0.25,Antigripales
98,MED-1097,Analgésicos,Sanofi,Barranquilla,Promoción,Automático (ML),38982.93,26284.27,12698.66,497,77,272,10.11,0.9,306,0,1,614,0,0,1,Pediatría,0.5,Analgésicos
99,MED-1098,Dermatológicos,Abbott,Bogotá,Alta (Invierno),Automático (ML),33155.52,20924.76,12230.76,186,46,156,11.1,6.09,337,3,7,469,0,1,0,Cardiovasculares,0.75,Cardiovasculares
100,MED-1099,Higiene Personal,Genfar,Medellín,Alta (Epidemia),Manual,33921.68,27458.12,6463.56,309,66,333,2.43,9.59,91,2,8,803,0,0,0,Pediatría,0.75,Pediatría
101,MED-1100,Dermatológicos,Roche,Cartagena,Alta (Epidemia),Automático (ML),42906.05,32150.3,10755.75,240,70,297,20.16,9.97,649,1,3,189,0,1,1,Antigripales,0.5,Dermatológicos
102,MED-1101,Cardiovasculares,Tecnoquímicas,Cartagena,Promoción,Automático (ML),71908.95,58608.07,13300.88,266,65,437,11.65,5.03,336,4,3,767,0,0,1,Pediatría,0.5,Cardiovasculares
103,MED-1102,Gastrointestinales,Roche,Cali,Normal,Manual,34450.9,23880.4,10570.5,327,14,239,20.34,1.27,599,2,12,717,0,0,1,Pediatría,0.75,Pediatría
104,MED-1103,Pediatría,Bayer,Medellín,Promoción,Proveedor Programado,48615.4,39192.29,9423.11,55,49,138,23.06,3.04,696,6,6,245,1,1,0,Pediatría,0.75,Pediatría
105,MED-1104,Pediatría,Sanofi,Barranquilla,Normal,Automático (ML),55370.84,41785.76,13585.08,421,69,125,35.38,9.63,1058,2,9,60,1,1,1,Gastrointestinales,0.25,Pediatría
106,MED-1105,Gastrointestinales,Pfizer,Medellín,Alta (Epidemia),Automático (ML),65983.46,53316.85,12666.61,476,21,365,8.53,1.3,258,1,11,142,1,1,1,Dermatológicos,0.25,Gastrointestinales
107,MED-1106,Higiene Personal,Bayer,Barranquilla,Normal,Automático (ML),32005.54,19275.92,12729.62,364,44,419,12.05,0.68,354,0,9,253,1,1,0,Pediatría,0.75,Pediatría
108,MED-1107,Cardiovasculares,Novartis,Bogotá,Promoción,Automático (ML),61034.81,48657.06,12377.75,403,77,345,7.49,7.82,246,0,1,734,0,0,1,Pediatría,0.5,Cardiovasculares
109,MED-1108,Pediatría,Abbott,Barranquilla,Normal,Manual,8751.47,7115.85,1635.62,269,73,297,38.79,7.62,1151,3,3,410,1,0,1,Dermatológicos,0.5,Pediatría
110,MED-1109,Diabetes,Abbott,Bogotá,Normal,Proveedor Programado,3079.27,1969.92,1109.35,225,38,91,17.62,4.79,525,2,7,300,0,0,1,Pediatría,1.0,Pediatría
111,MED-1110,Higiene Personal,Bayer,Cartagena,Promoción,Manual,9343.34,7195.54,2147.8,21,36,280,38.08,1.94,1105,2,12,50,0,0,1,Pediatría,1.0,Pediatría
112,MED-1111,Antibióticos,MK,Barranquilla,Alta (Epidemia),Proveedor Programado,18427.65,15055.96,3371.69,279,21,344,34.71,5.0,1029,0,8,89,1,1,1,Pediatría,0.75,Pediatría
113,MED-1112,Diabetes,Genfar,Barranquilla,Alta (Invierno),Automático (ML),69883.98,55498.31,14385.67,78,36,259,21.68,0.67,647,0,13,722,0,0,0,Gastrointestinales,0.5,Diabetes
114,MED-1113,Dermatológicos,Sanofi,Cali,Alta (Epidemia),Manual,49071.2,36893.03,12178.17,339,18,233,9.8,2.03,267,1,6,530,1,1,1,Dermatológicos,0.75,Dermatológicos
115,MED-1114,Vitaminas,Abbott,Cartagena,Promoción,Automático (ML),26897.87,19199.84,7698.03,71,30,353,27.54,4.26,850,4,6,573,1,1,1,Cardiovasculares,0.5,Vitaminas
116,MED-1115,Gastrointestinales,Genfar,Medellín,Promoción,Manual,10915.02,8106.87,2808.15,462,63,198,9.2,3.79,290,1,8,271,1,0,1,Pediatría,0.5,Gastrointestinales
117,MED-1116,Diabetes,Sanofi,Barranquilla,Alta (Invierno),Automático (ML),9765.72,6715.46,3050.26,416,35,187,6.18,5.89,173,0,14,151,0,0,1,Pediatría,0.5,Diabetes
118,MED-1117,Antibióticos,Abbott,Bogotá,Promoción,Manual,11051.72,8389.44,2662.28,450,15,73,37.51,0.99,1136,5,9,399,0,1,0,Pediatría,0.5,Antibióticos
119,MED-1118,Antibióticos,Abbott,Cali,Alta (Epidemia),Proveedor Programado,53883.15,39779.26,14103.89,389,67,138,18.64,6.61,551,0,9,729,1,0,1,Pediatría,0.5,Antibióticos
120,MED-1119,Higiene Personal,Sanofi,Cali,Promoción,Proveedor Programado,22026.95,14094.74,7932.21,300,28,132,19.34,7.57,584,1,13,660,0,0,0,Pediatría,0.75,Pediatría
121,MED-1120,Dermatológicos,Genfar,Bogotá,Promoción,Manual,15448.79,9349.84,6098.95,210,31,117,39.86,9.76,1168,1,3,743,0,1,0,Pediatría,0.5,Dermatológicos
122,MED-1121,Dermatológicos,Bayer,Bogotá,Alta (Epidemia),Manual,67714.84,43577.77,24137.07,212,40,113,17.59,3.79,518,1,12,411,1,1,1,Dermatológicos,0.25,Dermatológicos
123,MED-1122,Cardiovasculares,MK,Medellín,Promoción,Proveedor Programado,69761.43,51949.16,17812.27,419,75,459,36.13,4.51,1099,0,10,784,0,0,0,Gastrointestinales,0.5,Cardiovasculares
124,MED-1123,Antibióticos,Roche,Barranquilla,Alta (Invierno),Automático (ML),50968.43,38628.47,12339.96,398,35,92,16.81,6.22,507,1,10,555,0,0,1,Dermatológicos,0.25,Antibióticos
125,MED-1124,Dermatológicos,Abbott,Cali,Normal,Automático (ML),68787.65,49738.25,19049.4,317,69,229,24.12,6.0,728,1,4,159,1,0,0,Antigripales,0.25,Dermatológicos
126,MED-1125,Diabetes,La Santé,Cartagena,Alta (Epidemia),Proveedor Programado,69064.94,41594.89,27470.05,448,49,262,38.82,4.81,1150,0,11,39,1,1,1,Gastrointestinales,0.25,Diabetes
127,MED-1126,Dermatológicos,Genfar,Barranquilla,Promoción,Manual,16071.36,11731.18,4340.18,265,10,192,10.7,6.36,314,0,1,342,0,1,1,Pediatría,0.75,Pediatría
128,MED-1127,Pediatría,Tecnoquímicas,Cali,Normal,Proveedor Programado,59702.96,45729.55,13973.41,164,58,227,32.42,6.06,965,1,6,649,1,1,0,Antigripales,0.25,Pediatría
129,MED-1128,Pediatría,Bayer,Cartagena,Promoción,Automático (ML),78975.36,49813.13,29162.23,292,29,360,2.53,1.66,72,1,6,514,0,1,0,Dermatológicos,0.5,Pediatría
130,MED-1129,Antigripales,Roche,Cali,Alta (Invierno),Proveedor Programado,14422.43,12210.86,2211.57,215,52,227,38.12,6.57,1152,2,9,68,0,0,1,Pediatría,0.75,Pediatría
131,MED-1130,Diabetes,Bayer,Cartagena,Alta (Epidemia),Proveedor Programado,54348.55,34506.59,19841.96,383,54,411,28.48,2.42,841,1,7,37,0,0,1,Gastrointestinales,0.25,Diabetes
132,MED-1131,Gastrointestinales,Sanofi,Medellín,Alta (Invierno),Manual,56332.2,45602.54,10729.66,217,52,215,10.52,8.39,353,0,8,617,1,1,0,Pediatría,0.5,Gastrointestinales
133,MED-1132,Dermatológicos,Abbott,Cali,Alta (Epidemia),Manual,64254.3,53309.83,10944.47,0,28,364,26.7,4.24,807,1,5,390,1,0,0,Dermatológicos,0.5,Dermatológicos
134,MED-1133,Antigripales,Sanofi,Cartagena,Alta (Epidemia),Manual,78242.41,54904.81,23337.6,175,22,144,4.53,3.24,120,3,11,353,1,0,1,Dermatológicos,0.25,Antigripales
